cpt_code,median_price
0446T,5846.63
0447T,95.42
0448T,5493.08
0509T,73.1
10004,51.75
10005,129.06
10006,58.22
10007,294.03
10008,137.47
10009,405.63
10010,227.72
10021,97.69
10030,600.35
10035,339.96
10036,276.24
10040,112.57
10060,124.21
10061,208.31
10080,238.39
10081,328.64
10120,147.18
10121,257.15
10140,164.64
10160,126.47
10180,255.86
11000,56.93
11001,26.2
11004,546.98
11005,744.62
11006,676.04
11008,262.33
11010,429.56
11011,483.9
11012,626.55
11042,125.18
11043,225.46
11044,301.15
11045,38.49
11046,70.52
11047,117.42
11055,67.93
11056,78.93
11057,86.04
11102,95.75
11103,47.87
11104,119.36
11105,57.58
11106,148.47
11107,67.93
11200,90.25
11201,17.79
11300,95.42
11301,116.12
11302,131.65
11303,146.21
11305,100.27
11306,116.77
11307,131.97
11308,139.09
11310,110.3
11311,131.65
11312,149.76
11313,174.35
11400,124.21
11401,151.06
11402,166.91
11403,193.11
11404,218.99
11406,311.82
11420,122.92
11421,154.62
11422,174.35
11423,200.87
11424,232.89
11426,321.85
11440,138.12
11441,168.2
11442,187.93
11443,222.54
11444,277.21
11446,376.51
11450,415.98
11451,510.75
11462,408.54
11463,510.43
11470,440.56
11471,526.6
11600,191.17
11601,221.57
11602,237.75
11603,271.06
11604,302.44
11606,436.03
11620,191.81
11621,222.87
11622,245.51
11623,287.56
11624,327.35
11626,394.95
11640,196.99
11641,229.98
11642,260.39
11643,306.97
11644,378.13
11646,491.02
11719,13.91
11720,32.02
11721,43.67
11730,110.63
11732,31.7
11740,55.96
11750,155.26
11755,117.74
11760,178.88
11762,280.77
11765,159.79
11770,337.37
11771,610.7
11772,749.47
11900,55.64
11901,67.93
11920,194.4
11921,213.49
11922,59.52
11950,80.54
11951,106.74
11952,142.32
11954,157.53
11960,1000.8
11970,553.77
11971,545.36
11976,140.06
11980,91.54
11981,98.01
11982,107.07
11983,137.47
12001,91.22
12002,110.95
12004,129.06
12005,171.76
12006,199.58
12007,222.54
12011,109.01
12013,113.54
12014,137.8
12015,167.88
12016,214.46
12017,148.79
12018,168.53
12020,290.47
12021,171.44
12031,252.95
12032,294.03
12034,323.14
12035,377.81
12036,422.77
12037,474.2
12041,254.24
12042,299.53
12044,370.37
12045,400.45
12046,486.17
12047,533.07
12051,272.68
12052,304.7
12053,350.31
12054,368.75
12055,485.52
12056,562.18
12057,586.44
13100,328.32
13101,381.37
13102,112.24
13120,341.9
13121,409.51
13122,121.95
13131,374.57
13132,453.5
13133,162.7
13151,408.21
13152,478.4
13153,179.85
13160,780.2
14000,624.29
14001,794.75
14020,688.98
14021,851.04
14040,744.62
14041,905.06
14060,751.73
14061,975.89
14301,1056.11
14302,207.99
14350,650.81
15002,331.23
15003,66.63
15004,380.07
15005,113.21
15040,252.95
15050,571.24
15100,846.18
15101,178.55
15110,808.66
15111,110.95
15115,792.49
15116,149.44
15120,824.19
15121,198.93
15130,701.6
15131,95.42
15135,848.77
15136,94.13
15150,687.69
15151,115.48
15152,149.44
15155,777.29
15156,155.26
15157,172.73
15200,819.34
15201,134.24
15220,751.09
15221,123.24
15240,907.97
15241,167.55
15260,977.83
15261,197.64
15271,148.47
15272,23.61
15273,295.0
15274,76.98
15275,153.97
15276,31.7
15277,329.93
15278,91.22
15570,885.0
15572,863.65
15574,839.72
15576,764.99
15600,326.38
15610,360.02
15620,436.68
15630,452.2
15650,530.81
15730,1359.2
15731,1094.93
15733,1003.71
15734,1466.27
15736,1189.7
15738,1233.05
15740,993.68
15750,914.76
15756,2214.44
15757,2199.89
15758,2191.15
15760,826.13
15769,471.94
15770,661.81
15771,600.03
15772,187.93
15773,585.47
15774,183.4
15775,365.52
15776,494.25
15777,207.66
15778,380.39
15780,823.87
15781,510.75
15782,473.88
15783,440.88
15786,220.93
15787,29.11
15788,374.57
15789,520.78
15792,323.79
15793,463.85
15820,560.56
15821,600.67
15822,446.38
15823,601.32
15830,1151.21
15832,911.52
15833,862.03
15834,878.21
15835,915.08
15836,784.08
15837,851.04
15838,640.14
15839,874.33
15840,983.01
15841,1738.95
15842,2628.8
15845,1043.17
15851,55.31
15852,43.02
15853,11.0
15854,13.91
15860,103.19
15920,625.9
15922,784.08
15931,692.86
15933,856.21
15934,965.87
15935,1133.42
15936,870.77
15937,961.01
15940,698.04
15941,930.29
15944,917.67
15945,1001.12
15946,1565.57
15950,626.55
15951,882.41
15952,900.2
15953,990.77
15956,1139.89
15958,1138.6
16000,78.28
16020,83.45
16025,152.03
16030,193.76
16035,189.23
16036,79.9
